15/7/2021, 12:08:08 central is off
26/7/2021, 14:56:43 central is off
26/7/2021, 14:59:05 central is off
20/10/2021, 15:29:41 central is off
20/10/2021, 15:30:07 central is off
20/10/2021, 15:33:10 central is off
20/10/2021, 16:03:42 central is off
20/10/2021, 16:05:10 central is off
20/10/2021, 16:05:50 central is off
20/10/2021, 16:07:22 central is off
20/10/2021, 16:09:25 central is off
20/10/2021, 16:10:20 central is off
20/10/2021, 16:14:22 central is off
20/10/2021, 16:16:14 central is off
20/10/2021, 16:18:27 central is off
20/10/2021, 16:19:00 central is off
20/10/2021, 16:19:42 central is off
20/10/2021, 16:20:34 send udp to 192.168.0.122:5000, appro
20/10/2021, 16:20:37 send udp to 192.168.0.122:5000, appro
20/10/2021, 16:20:38 send udp to 192.168.0.122:5000, appro
20/10/2021, 16:20:50 central is off
20/10/2021, 16:21:16 central is off
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
20/10/2021, 16:21:16 send udp to 192.168.0.125:5000, appro
